drzava,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Barbados,17300.0,18400.0,18900.0,18900.0,21700.0,21800.0,25500.0,25000.0,25100.0,16400.0
Hong Kong,34000.0,37300.0,42000.0,43800.0,45600.0,45900.0,50700.0,50900.0,52700.0,55100.0
Bhutan,1400.0,1400.0,5200.0,5200.0,5000.0,5500.0,6500.0,6600.0,7000.0,7700.0
Mongolia,1900.0,2100.0,2900.0,3200.0,3300.0,3600.0,5400.0,5300.0,5900.0,11900.0
Botswana,10700.0,10900.0,14300.0,13900.0,13100.0,14000.0,16800.0,15700.0,16400.0,17000.0
Turks and Caicos Islands,11500.0,11500.0,11500.0,11500.0,11500.0,11500.0,11500.0,29100.0,29100.0,29100.0
"Gambia, The",1900.0,2000.0,1200.0,1300.0,1900.0,1900.0,1900.0,1900.0,2000.0,1600.0
Israel,25000.0,26800.0,26600.0,28600.0,29500.0,29800.0,32200.0,33900.0,36200.0,33100.0
Austria,32500.0,34700.0,39300.0,40400.0,40300.0,40400.0,42500.0,42600.0,42600.0,46600.0
Nauru,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,14800.0
Sao Tome and Principe,1200.0,1200.0,1600.0,1300.0,1800.0,1800.0,2300.0,2100.0,2200.0,3200.0
Mozambique,1300.0,1500.0,800.0,900.0,1000.0,1000.0,1200.0,1200.0,1200.0,1200.0
Haiti,1700.0,1800.0,1300.0,1300.0,1200.0,1200.0,1300.0,1200.0,1300.0,1800.0
Burundi,700.0,700.0,300.0,300.0,300.0,300.0,600.0,600.0,600.0,900.0
Singapore,28600.0,31400.0,49900.0,51600.0,62200.0,62100.0,60900.0,60800.0,62400.0,83100.0
Gibraltar,27900.0,27900.0,38200.0,38200.0,38400.0,43000.0,43000.0,43000.0,43000.0,43000.0
Grenada,3900.0,3900.0,10500.0,13200.0,10500.0,10200.0,14100.0,13500.0,13800.0,12500.0
Bolivia,2900.0,3100.0,4400.0,4500.0,4800.0,4800.0,5000.0,5000.0,5500.0,6200.0
Solomon Islands,600.0,600.0,1900.0,2700.0,2800.0,2900.0,3400.0,3300.0,3400.0,1900.0
Australia,31600.0,33300.0,37300.0,38200.0,41300.0,41000.0,42400.0,42000.0,43000.0,46600.0
Qatar,28300.0,29800.0,87600.0,111000.0,145300.0,179000.0,102800.0,100900.0,102100.0,137200.0
