drzava,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Barbados,4.1,3.5,4.3,0.7,-0.7,-0.5,0.7,0.0,-0.8,0.2
Hong Kong,7.3,6.9,6.4,2.4,5.7,6.8,1.8,1.5,2.9,2.5
Bhutan,5.9,8.8,22.4,21.4,6.8,6.7,9.9,9.2,5.8,6.4
Kenya,5.8,6.1,7.0,1.7,4.0,5.0,5.1,4.6,5.1,5.3
Turks and Caicos Islands,4.9,4.9,4.9,4.9,4.9,4.9,4.9,11.2,11.2,11.2
Israel,5.2,5.1,5.3,4.2,3.4,4.6,2.9,3.4,3.3,2.6
Nigeria,6.9,5.3,6.4,5.3,6.8,8.4,7.1,6.6,6.2,6.3
Nauru,,,,,,,,,,8.0
Mozambique,7.5,7.9,7.3,6.8,8.3,7.0,7.5,7.4,7.0,7.4
Haiti,1.8,2.3,3.2,1.3,-8.0,-5.1,4.5,2.8,3.4,2.8
Burundi,1.1,5.1,3.6,4.5,3.9,3.9,4.2,4.0,4.5,4.7
Tajikistan,6.7,7.0,7.8,7.9,5.5,6.5,6.8,7.5,7.4,6.7
Singapore,6.4,7.9,7.7,1.1,14.6,14.5,2.1,1.3,4.1,2.9
Portugal,0.4,1.3,1.8,0.0,1.0,1.4,-3.0,-3.2,-1.8,0.9
Grenada,0.9,0.9,3.1,2.2,0.8,-1.4,0.5,-0.8,0.8,5.7
Bolivia,4.1,4.5,4.6,6.1,3.8,4.2,5.0,5.2,6.8,5.5
Solomon Islands,4.4,4.4,5.4,7.3,2.8,5.6,7.4,4.8,4.0,1.5
Australia,2.7,2.7,4.3,2.4,3.3,2.7,3.3,3.7,2.5,2.7
Qatar,8.8,7.1,8.4,13.4,19.4,16.3,6.3,6.2,5.5,4.0
Greenland,1.8,2.0,2.0,2.0,1.5,-2.0,3.0,3.0,3.0,3.0
"Korea, North",1.0,1.6,-1.1,3.7,-0.9,-0.9,0.8,0.8,1.3,1.1
Armenia,13.9,13.4,13.7,6.8,4.7,2.6,3.8,7.2,4.6,3.4
Vanuatu,6.8,6.8,5.0,6.6,4.1,2.2,2.6,2.3,3.3,2.3
Poland,3.4,6.1,6.6,5.0,3.3,3.8,2.4,1.9,1.3,3.4
American Samoa,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-2.4
Bermuda,4.6,4.6,4.6,4.6,4.6,4.6,4.6,-3.5,-3.5,-2.5
Finland,3.0,4.9,4.5,0.8,2.1,3.1,0.3,-0.8,-0.6,-0.4
United Kingdom,1.9,2.8,3.1,0.7,1.6,1.3,-0.1,0.2,1.8,3.0
Macedonia,4.0,3.1,5.1,5.3,1.5,0.7,1.0,-0.3,3.1,3.8
Botswana,5.5,5.4,4.8,2.9,3.1,8.6,3.8,4.2,3.9,4.4
Northern Mariana Islands,,,,,,,,,,4.5
Andorra,4.0,3.5,3.5,2.0,2.6,3.8,-1.6,-1.6,-1.6,-1.6
Belgium,1.5,3.0,2.8,1.0,1.6,2.0,0.0,-0.3,0.1,1.1
Ghana,5.9,6.0,5.5,7.3,4.7,5.7,8.2,7.9,7.9,4.0
Kiribati,,,2.0,3.4,1.5,1.8,2.5,2.8,2.9,3.7
Antigua and Barbuda,3.8,3.8,6.1,2.8,-4.1,-4.1,1.0,1.6,1.7,4.2
Puerto Rico,2.5,0.5,-1.2,-2.5,-5.8,-5.8,-5.8,-5.8,-5.8,-0.6
Bosnia and Herzegovina,5.0,6.2,6.0,5.5,1.1,0.8,0.0,-0.7,0.8,1.1
Italy,0.1,1.9,1.4,-1.0,1.1,1.3,-2.3,-2.4,-1.8,-0.4
Laos,7.3,8.3,7.5,7.5,7.0,7.7,8.3,7.9,8.3,7.4
Belarus,9.2,9.9,8.2,10.0,4.8,7.6,4.3,1.5,2.1,1.6
Vietnam,8.5,8.2,8.5,6.2,6.8,6.8,5.1,5.2,5.3,6.0
Ukraine,2.6,7.1,7.7,2.1,4.3,4.2,3.0,0.2,0.4,-6.8
Burma,5.2,3.0,3.8,1.1,3.1,5.3,6.2,6.4,6.8,8.5
