drzava,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
French Guiana,199509,,,,,,,,,
Saint Pierre and Miquelon,7026,7036,7044,7051,5943,5888,5831,5774,5716,5657
Russia,142893540,141377752,140702096,140041247,139390205,138739892,142517670,142500482,142470272,142423773
Togo,5548702,5701579,5858673,6019877,6587239,6771993,6961049,7154237,7351374,7552318
China,1313973713,1321851888,1330044544,1338612968,1330141295,1336718015,1343239923,1349585838,1355692576,1367485388
Guinea-Bissau,1442029,1472780,1503182,1533964,1565126,1596677,1628603,1660870,1693398,1726170
Nauru,13287,13528,13770,14019,9267,9322,9378,9434,9488,9540
Sint Maarten,,,,,37429,37429,39088,39689,39689,39689
Panama,3191319,3242173,3309679,3360474,3410676,3460462,3510045,3559408,3608431,3657024
Sao Tome and Principe,193413,199579,206178,212679,175808,179506,183176,186817,190428,194006
Swaziland,1136334,1133066,1128814,1123913,1354051,1370424,1386914,1403362,1419623,1435613
Virgin Islands,108605,108448,109840,109825,109750,109666,105275,104737,104170,103574
Timor-Leste,,1084971,1108777,1131612,1154625,1177834,1143667,1172390,1201542,1231116
Comoros,690948,711417,731775,752438,773407,794683,737284,752288,766865,780971
Paraguay,6506464,6669086,6831306,6995655,6375830,6459058,6541591,6623252,6703860,6783272
Dominica,68910,72386,72514,72660,72813,72969,73126,73286,73449,73607
Slovenia,2010347,2009245,2007711,2005692,2003136,2000092,1996617,1992690,1988292,1983412
Fiji,905949,918675,931741,944720,875983,883125,890057,896758,903207,909389
Saint Kitts and Nevis,39129,39349,39817,40131,49898,50314,50726,51134,51538,51936
Guinea,9690222,9947814,9806509,10057975,10324025,10601009,10884958,11176026,11474383,11780162
Japan,127463611,127433494,127288416,127078679,126804433,126475664,127368088,127253075,127103388,126919659
Sierra Leone,6005250,6144562,6294774,6440053,5245695,5363669,5485998,5612685,5743725,5879098
Georgia,4661473,4646003,4630841,4615807,4600825,4585874,4570934,4555911,4935880,4931226
Jamaica,2758124,2780132,2804332,2825928,2847232,2868380,2889187,2909714,2930050,2950210
Wallis and Futuna,16025,16309,15237,15289,15343,15398,15453,15507,15561,15613
New Caledonia,219246,221943,224824,227436,252352,256275,260166,264022,267840,271615
New Zealand,4076140,4115771,4173460,4213418,4252277,4290347,4327944,4365113,4401916,4438393
Isle of Man,75441,75831,76220,76512,83859,84655,85421,86159,86866,87545
European Union,456953258,490426060,491018683,,,,,509365627,511434812,513949445
Ghana,22409572,22931299,23382848,23832495,24339838,24791073,24652402,25199609,25758108,26327649
Bangladesh,147365352,150448339,153546896,156050883,156118464,158570535,161083804,163654860,166280712,168957745
Kuwait,2418393,2505559,2596799,2691158,2789132,2595628,2646314,2695316,2742711,2788534
Netherlands Antilles,221736,223652,225369,227049,,,,,,
Serbia,9396411,10150265,10159046,7379339,7344847,7310555,7276604,7243007,7209764,7176794
Maldives,359008,369031,385925,396334,395650,394999,394451,393988,393595,393253
Benin,7862944,8078314,8532547,8791832,9056010,9325032,9598787,9877292,10160556,10448647
Mauritius,1240827,1250882,1274189,1284264,1294104,1303717,1313095,1322238,1331155,1339827
Marshall Islands,60422,61815,63174,64522,65859,67182,68480,69747,70983,72191
Cayman Islands,45436,46600,47862,49035,50209,51384,52560,53737,54914,56092
Bulgaria,7385367,7322858,7262675,7204687,7148785,7093635,7037935,6981642,6924716,7186893
United Arab Emirates,2602713,4444011,4621399,4798491,4975593,5148664,5314317,5473972,5628805,5779760
Brunei,379444,374577,381371,388190,395027,401890,408786,415717,422675,429646
Latvia,2274735,2259810,2245423,2231503,2217969,2204708,2191580,2178443,2165165,1986705
Mayotte,201234,208783,216306,223765,231139,,,,,
Chad,9944201,9885661,10111337,10329208,10543464,10758945,10975648,11193452,11412107,11631456
Reunion,787584,,,,,,,,,
Oman,3102229,3204897,3311640,3418085,2967717,3027959,3090150,3154134,3219775,3286936
West Bank,,2535927,2407681,2461267,2514845,2568555,2622544,2676740,2731052,2785366
Saint Barthelemy,,6852,7492,7448,7406,7367,7332,7298,7267,7237
Aruba,71891,100018,101541,103065,104589,106113,107635,109153,110663,112162
Rwanda,8648248,9907509,10186063,10473282,11055976,11370425,11689696,12012589,12337138,12661733
Luxembourg,474413,480222,486006,491775,497538,503302,509074,514862,520672,570252
French Polynesia,274578,278963,283019,287032,291000,294935,274512,277293,280026,282703
Bosnia and Herzegovina,4498976,4552198,4590310,4613414,4621598,4622163,3879296,3875723,3871643,3867055
Iran,68688433,65397521,65875224,66429284,76923300,77891220,78868711,79853900,80840713,81824270
Egypt,78887007,80335036,81713520,83082869,80471869,82079636,83688164,85294388,86895099,88487396
United Kingdom,60609153,60776238,60943912,61113205,62348447,62698362,63047162,63395574,63742977,64088222
Central African Republic,4303356,4369038,4444330,4511488,4844927,4950027,5057208,5166510,5277959,5391539
Australia,20264082,20434176,21007310,21262641,21515754,21766711,22015576,22262501,22507617,22751014
Burma,47382633,47373958,47758180,48137741,53414374,53999804,54584650,55167330,55746253,56320206
Qatar,885359,907229,824789,833285,840926,848016,1951591,2042444,2123160,2194817
Tanzania,37445392,39384223,40213160,41048532,41892895,42746620,46912768,48261942,49639138,51045882
Dhekelia,,,,15700,15700,15700,15700,15700,15700,
Ethiopia,74777981,76511887,82544840,85237338,88013491,90873739,91195675,93877025,96633458,99465819
Djibouti,486530,496374,506221,516055,740528,757074,774389,792198,810179,828324
"Bahamas, The",303770,305655,307451,309156,310426,313312,316182,319031,321834,324597
Denmark,5450661,5468120,5484723,5500510,5515575,5529888,5543453,5556452,5569077,5581503
Christmas Island,,1402,1402,1402,1402,1402,1496,1513,1530,1530
"Korea, North",23113019,23301725,23479088,22665345,22757275,24457492,24589122,24720407,24851627,24983205
Saint Vincent and the Grenadines,117848,118149,118432,104574,104217,103869,103537,103220,102918,102627
Burkina Faso,13902972,14326203,15264735,15746232,16241811,16751455,17275115,17812961,18365123,18931686
Ukraine,46710816,46299862,45994288,45700395,45415596,45134707,44854065,44573205,44291413,44429471
Spain,40397842,40448191,40491052,40525002,46505963,46754784,47042984,47370542,47737941,48146134
Northern Mariana Islands,82459,84546,86616,88662,48317,46050,51395,51170,51483,52344
"Saint Helena, Ascension, and Tristan da Cunha",,,,,7670,7700,7728,7754,7776,7795
Cape Verde,420979,423613,426998,429474,508659,516100,523568,,,
Antigua and Barbuda,69108,69481,84522,85632,86754,87884,89018,90156,91295,92436
Somalia,8863338,9118773,9558666,9832017,10112453,9925640,10085638,10251568,10428043,10616380
